Customer_Loyalty_ID,Gender,Geographic_Region,Loyalty_Status,Neigborhood_Cluster-55_Level,Neighborhood_Cluster-7_Level,Television_Region,Affluence_Grade,Age,Loyalty_Card_Tenure,Organics_Purchase_Indicator,Total_Spend
140,U,Midlands,Gold,16,C,Wales & West,10,76,4,0,16000
620,U,Midlands,Gold,35,D,Wales & West,4,49,5,0,6000
868,F,Midlands,Silver,27,D,Wales & West,5,70,8,1,2
1120,M,Midlands,Tin,51,F,Midlands,10,65,7,1,1
2313,F,Midlands,Tin,4,A,Midlands,11,68,8,0,1
2771,U,North,Platinum,28,D,N West,9,72,3,0,2075981
3131,F,Midlands,Tin,3,A,East,11,74,8,0,1
3328,M,North,Tin,32,D,N East,13,62,5,0,1
4529,M,Midlands,Silver,49,F,East,10,62,3,0,203876
5886,F,,Gold,49,F,,14,43,1,1,6000
7420,F,North,Gold,52,F,N East,7,60,2,0,11000
9814,M,South East,Silver,24,C,London,5,,1,1,5000
10006,F,Midlands,Silver,52,F,Midlands,9,51,11,0,300
10219,F,South East,Tin,19,C,S & S East,6,64,9,0,1
10812,F,South East,Tin,18,C,London,16,37,4,1,1
11207,M,Midlands,Silver,28,D,Midlands,8,54,1,0,1420
11932,F,Midlands,Gold,15,B,Midlands,5,70,8,0,610466
14656,F,Midlands,Tin,19,C,East,,42,5,1,1
15350,F,Scottish,Tin,40,E,C Scotland,7,,5,1,1
17302,,South East,Tin,28,D,London,7,49,7,0,1
19496,F,Midlands,Silver,49,F,Midlands,9,66,12,0,500
19763,F,Midlands,Gold,8,B,Wales & West,9,74,2,0,6000
20478,,Midlands,Gold,37,E,East,6,70,2,0,16000
20761,M,South East,Silver,30,D,S & S East,7,66,5,0,1000
23124,F,South East,Tin,27,D,London,6,46,8,0,1
24554,M,Midlands,Tin,,,Ulster,10,39,5,0,1
24880,M,Midlands,Silver,12,B,East,7,75,7,0,4000
26387,F,Midlands,Silver,,,Ulster,,72,23,1,1250
27715,M,North,Tin,53,F,N West,7,43,5,1,1
29173,F,Midlands,Gold,24,C,Wales & West,7,62,4,0,20000
29440,M,South West,Silver,5,B,S West,8,37,9,1,1000
30600,F,South East,Tin,48,F,London,9,49,8,0,1
30937,,North,Gold,32,D,N East,8,79,1,0,6000
39330,M,Midlands,Tin,50,F,East,,,4,0,1
41092,F,Midlands,Gold,35,D,East,3,50,3,0,9800
41475,M,South East,Tin,28,D,London,,66,11,0,1
42439,F,Midlands,Silver,19,C,Wales & West,15,35,5,1,1630
45799,F,Midlands,Silver,14,B,Wales & West,10,71,5,0,1500
46906,F,North,Silver,51,F,N West,7,44,1,0,1000
50237,M,North,Tin,15,B,N East,8,42,5,0,1
51950,F,South West,Gold,8,B,S West,9,68,5,1,605325
54496,F,North,Tin,32,D,Yorkshire,9,31,4,0,1
56073,F,South East,Gold,12,B,London,8,70,15,0,1905382
57002,F,North,Platinum,38,E,N East,7,72,3,0,2052696
57622,M,Midlands,Tin,,,East,12,41,9,0,1
59056,F,North,Gold,52,F,N East,9,37,1,1,6000
59862,F,North,Gold,24,C,N West,8,58,7,0,1005335
63002,F,South East,Silver,31,D,London,7,47,5,0,2
63983,M,Midlands,Silver,37,E,East,8,71,6,0,1000
71986,F,Midlands,Silver,27,D,Midlands,8,62,5,1,1000
72559,U,Midlands,Gold,37,E,Midlands,15,72,12,0,634026
73148,F,Midlands,Silver,44,E,Midlands,8,39,4,1,224136
75205,M,Midlands,Gold,34,D,Wales & West,6,76,19,0,12000
75469,F,Scottish,Gold,11,B,Border,7,61,11,1,6000
80322,,Midlands,Tin,32,D,Midlands,6,53,5,0,1
80608,M,North,Silver,22,C,Yorkshire,8,60,11,1,60
82678,F,South East,Tin,52,F,London,15,42,5,1,1
83852,F,South East,Silver,4,A,London,13,,4,0,5000
84573,F,Midlands,Silver,38,E,Midlands,10,57,11,0,50
87750,M,Midlands,Tin,51,F,Midlands,6,45,4,0,1
89796,F,Midlands,Silver,12,B,East,11,75,8,1,305266
91588,F,North,Tin,38,E,Yorkshire,8,37,5,1,1
93564,U,South West,Silver,42,E,S West,13,61,8,0,3000
95036,F,,Silver,8,B,,12,61,9,0,1020
95982,F,North,Tin,4,A,Yorkshire,19,39,8,1,1
97802,M,Midlands,Silver,,,Ulster,7,55,1,0,2000
102385,M,Scottish,Gold,8,B,C Scotland,8,57,9,0,9000
103225,F,South East,Gold,22,C,S & S East,13,18,1,0,6000
108413,U,North,Silver,1,A,N West,5,56,8,0,3000
109819,F,North,Gold,27,D,N East,9,50,4,0,20000
113743,F,North,Silver,51,F,N West,,54,2,0,2000
117498,U,North,Platinum,15,B,N East,11,67,8,0,22000
118397,F,Midlands,Silver,37,E,Midlands,7,78,24,0,2000
121312,F,Midlands,Tin,19,C,Midlands,5,61,5,0,1
